1	0.0 38.0 12.0 0.0 0.0 62.0 17.0 12.0 100.0 0.0 0.0 0.0 0.0 0.0 40.0 33.0 38.0 17.0 0.0
2	0.0 25.0 0.0 0.0 12.0 44.0 31.0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 69.0 0.0 38.0 0.0 0.0 
3	0.0 40.0 20.0 0.0 0.0 60.0 40.0 20.0 100.0 0.0 0.0 0.0 0.0 40.0 20.0 40.0 40.0 20.0 0.0 
4	0.0 75.0 25.0 0.0 0.0 50.0 75.0 25.0 75.0 0.0 0.0 0.0 25.0 50.0 0.0 50.0 100.0 25.0 0.0 
5	0.0 82.0 47.0 35.0 12.0 100.0 24.0 0.0 18.0 0.0 0.0 35.0 18.0 0.0 24.0 76.0 18.0 35.0 0.0 
6	0.0 31.0 31.0 17.0 21.0 90.0 21.0 0.0 100.0 0.0 10.0 0.0 21.0 17.0 48.0 10.0 28.0 14.0 10.0 
7	0.0 40.0 23.0 0.0 17.0 34.0 12.0 0.0 100.0 0.0 0.0 28.0 15.0 0.0 26.0 32.0 42.0 31.0 0.0 
8	0.0 100.0 50.0 0.0 0.0 0.0 19.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 19.0 44.0 19.0 12.0 19.0 
9	0.0 50.0 50.0 0.0 0.0 83.0 0.0 0.0 67.0 0.0 0.0 17.0 0.0 0.0 100.0 33.0 33.0 33.0 0.0 
10	0.0 30.0 16.0 0.0 0.0 59.0 22.0 0.0 100.0 0.0 11.0 0.0 11.0 22.0 54.0 11.0 38.0 27.0 0.0 
11	0.0 12.0 0.0 0.0 0.0 53.0 12.0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 41.0 16.0 19.0 12.0 0.0 
12	0.0 70.0 20.0 0.0 0.0 100.0 0.0 0.0 80.0 0.0 0.0 0.0 0.0 20.0 80.0 20.0 60.0 20.0 0.0 
13	0.0 49.0 20.0 0.0 16.0 57.0 16.0 0.0 100.0 0.0 11.0 0.0 0.0 11.0 39.0 26.0 34.0 16.0 0.0 
